Provincia,Precio Venta
Barcelona,1841622
Barcelona,262777
Barcelona,720902
Barcelona,682773
Barcelona,740355
Barcelona,1536576
Barcelona,935781
Barcelona,712768
Barcelona,761793
Barcelona,1514968
Barcelona,2330042
Barcelona,804625
Barcelona,1568754
Barcelona,867009
Barcelona,1272216
Barcelona,917868
Barcelona,469910
Barcelona,1877400
Barcelona,435348
Barcelona,889658
Barcelona,1286344
Barcelona,1343798
Barcelona,1275646
Barcelona,1408182
Barcelona,418019
Barcelona,1058545
Barcelona,2658936
Barcelona,1879200
Barcelona,1085705
Barcelona,1237929
Barcelona,705963
Barcelona,406290
Barcelona,1116348
Barcelona,1972816
Barcelona,938030
Barcelona,346256
Barcelona,500400
Barcelona,463843
Barcelona,651920
Barcelona,1513005
Barcelona,2188597
Barcelona,1277930
Barcelona,479318
Barcelona,329716
Barcelona,1239300
Barcelona,1722407
Barcelona,1570016
Barcelona,2540364
Barcelona,688463
Barcelona,1793848
Barcelona,2085373
Barcelona,901980
Barcelona,585746
Barcelona,588023
Barcelona,840560
Barcelona,1527750
Barcelona,2328418
Barcelona,1330236
Barcelona,538065
Barcelona,1355470
Barcelona,1509872
Barcelona,306726
Barcelona,1535168
Barcelona,1695330
Barcelona,371712
Barcelona,510150
Barcelona,1162131
Barcelona,1363948
Barcelona,1554732
Barcelona,1685148
Barcelona,2064879
Barcelona,1781849
Barcelona,1442280
Barcelona,1469178
Barcelona,334305
Barcelona,1627200
Barcelona,2180104
Barcelona,878638
Barcelona,562632
Barcelona,1278774
Barcelona,592103
Barcelona,942196
Barcelona,1712725
Barcelona,995657
Barcelona,397540
Barcelona,631560
Barcelona,2328636
Barcelona,1372135
Barcelona,1356160
Barcelona,1341024
Barcelona,2449452
Barcelona,315810
Barcelona,1072768
Barcelona,2722146
Barcelona,455762
Barcelona,491706
Barcelona,1036665
Barcelona,1242042
Barcelona,2376550
Barcelona,709700
Barcelona,1615647
Barcelona,766774
Barcelona,1662822
Barcelona,614244
Barcelona,1241562
Barcelona,307255
Barcelona,954808
Barcelona,1271592
Barcelona,1236560
Barcelona,1494490
Barcelona,672792
Barcelona,589016
Barcelona,1588940
Barcelona,1127750
Barcelona,2427300
Barcelona,1717898
Barcelona,1870757
Barcelona,1368750
Barcelona,2677056
Barcelona,862848
Barcelona,1657880
Barcelona,1457226
Barcelona,1508472
Barcelona,1276864
Barcelona,1360064
Barcelona,1615424
Barcelona,1231262
Barcelona,1106677
Barcelona,1262250
Barcelona,2398788
Barcelona,1315440
Barcelona,949693
Barcelona,2362572
Barcelona,672987
Barcelona,2138771
Barcelona,599850
Barcelona,1919827
Barcelona,500560
Barcelona,259515
Barcelona,1886541
Barcelona,1471197
Barcelona,2275050
Barcelona,1911604
Barcelona,1850644
Barcelona,1128420
Barcelona,424175
Barcelona,1081248
Barcelona,1816793
Barcelona,1187477
Barcelona,1772700
Barcelona,1960808
Barcelona,372447
Barcelona,1602300
Barcelona,1912482
Barcelona,1859480
Barcelona,444338
Barcelona,795912
Barcelona,900956
Barcelona,879254
Barcelona,1066550
Barcelona,1394206
Barcelona,2176768
Barcelona,1090782
Barcelona,984192
Barcelona,1308398
Barcelona,2865688
Barcelona,2436448
Barcelona,2148384
Barcelona,1305129
Barcelona,780598
Barcelona,354270
Barcelona,425790
Barcelona,1388388
Barcelona,1471605
Barcelona,1256274
Barcelona,1320236
Barcelona,917378
Barcelona,235746
Barcelona,474600
Barcelona,2151435
Barcelona,2105079
Barcelona,953316
Barcelona,1246960
Barcelona,1830800
Barcelona,2234653
Barcelona,2032295
Barcelona,1292980
Barcelona,949578
Barcelona,841232
Barcelona,1152718
Barcelona,367132
Barcelona,1557884
Barcelona,500148
Barcelona,730350
Barcelona,867636
Barcelona,459725
Barcelona,757809
Barcelona,485849
Barcelona,525096
Barcelona,627321
Barcelona,1307688
Barcelona,531784
Barcelona,1612334
Barcelona,480318
Barcelona,1179488
Barcelona,309702
Barcelona,2229812
Barcelona,1795819
Barcelona,563122
Barcelona,651472
Barcelona,281521
Barcelona,2306031
Barcelona,1698664
Barcelona,2292149
Barcelona,333650
Barcelona,950015
Barcelona,892704
Barcelona,1702501
Barcelona,2418064
Barcelona,1421308
Barcelona,406252
Barcelona,2633774
Barcelona,1287210
Barcelona,1013523
Barcelona,2066064
Barcelona,1244600
Barcelona,2011934
Barcelona,899014
Barcelona,2349200
Barcelona,1453428
Barcelona,1531222
Barcelona,1384355
Barcelona,742848
Barcelona,896969
Barcelona,834394
Barcelona,1300276
Barcelona,1584856
Barcelona,1583785
Barcelona,516159
Barcelona,1792128
Barcelona,264438
Barcelona,1435239
Barcelona,1496320
Barcelona,585812
Barcelona,567072
Barcelona,499698
Barcelona,1779435
Barcelona,802428
Barcelona,1955340
Barcelona,1053628
Barcelona,868367
Barcelona,368384
Barcelona,2677590
Barcelona,1484028
Barcelona,704476
Barcelona,691712
Barcelona,1084300
Barcelona,399143
Barcelona,306120
Barcelona,1742293
Barcelona,1035826
Barcelona,1258534
Barcelona,330885
Barcelona,804144
Barcelona,436428
Barcelona,859040
Barcelona,618786
Barcelona,708840
Barcelona,1582845
Barcelona,1823406
Barcelona,347931
Barcelona,583692
Barcelona,1716300
Barcelona,1271388
Barcelona,1699719
Barcelona,1620575
Barcelona,1107864
Barcelona,2133120
Barcelona,687720
Barcelona,1301560
Barcelona,1951328
Barcelona,740731
Barcelona,286747
Barcelona,1209216
Barcelona,1202705
Barcelona,1900200
Barcelona,1669250
Barcelona,829808
Barcelona,2384954
Barcelona,906780
Barcelona,375232
Barcelona,358670
Barcelona,1643256
Barcelona,1069640
Barcelona,509356
Barcelona,986048
Barcelona,843106
Barcelona,663845
Barcelona,1191260
Barcelona,1473982
Barcelona,1333593
Barcelona,1558430
Barcelona,1150128
Barcelona,1517285
Barcelona,827057
Barcelona,842683
Barcelona,2074000
Barcelona,1424436
Barcelona,617652
Barcelona,1911424
Barcelona,1668526
Barcelona,943805
Barcelona,415866
Barcelona,864080
Barcelona,974956
Barcelona,707914
Barcelona,1540140
Barcelona,656676
Barcelona,1305304
Barcelona,683844
Barcelona,911064
Barcelona,490897
Barcelona,2299374
Barcelona,409378
Barcelona,878712
Barcelona,850476
Barcelona,1929228
Barcelona,613496
Barcelona,979560
Barcelona,264385
Barcelona,1146552
Barcelona,804540
Barcelona,1753052
Barcelona,1420160
Barcelona,1522998
Barcelona,909606
Barcelona,857936
Barcelona,1963104
Barcelona,480384
Barcelona,945624
Barcelona,346192
Barcelona,2334123
Barcelona,994536
Barcelona,1687604
Barcelona,745864
Barcelona,1544496
Barcelona,991900
Barcelona,1422624
Barcelona,1878954
Barcelona,2221329
Barcelona,2216214
Barcelona,692484
Barcelona,499735
Barcelona,526680
Barcelona,421290
Barcelona,878940
Barcelona,1213505
Barcelona,1059827
Barcelona,1817736
Barcelona,1688040
Barcelona,1780350
Barcelona,2147112
Barcelona,1685904
Barcelona,693515
Barcelona,324213
Barcelona,753900
Barcelona,2868470
Barcelona,807120
Barcelona,2203166
Barcelona,270996
Barcelona,1842785
Barcelona,856692
Barcelona,907137
Barcelona,1393095
Barcelona,2136288
Barcelona,1036392
Barcelona,2390634
Barcelona,940500
Barcelona,2548584
Barcelona,2263626
Barcelona,1348055
Barcelona,1653852
Barcelona,296856
Barcelona,402462
Barcelona,1401361
Barcelona,1040746
Barcelona,1329968
Barcelona,545925
Barcelona,1109808
Barcelona,680760
Barcelona,1176209
Barcelona,2219468
Barcelona,446940
Barcelona,700700
Barcelona,2107784
Barcelona,1139076
Barcelona,539280
Barcelona,2053005
Barcelona,1856525
Barcelona,1741320
Barcelona,1196465
Barcelona,419256
Barcelona,738430
Barcelona,1437408
Barcelona,1450556
Barcelona,1331856
Barcelona,1685132
Barcelona,2399040
Barcelona,808170
Barcelona,363280
Barcelona,1074675
Barcelona,609342
Barcelona,1411969
Barcelona,2119735
Barcelona,1970874
Barcelona,1528254
Barcelona,550816
Barcelona,650750
Barcelona,2381400
Barcelona,1286766
Barcelona,190280
Barcelona,682240
Barcelona,693244
Barcelona,1155436
Barcelona,1298869
Barcelona,2001232
Barcelona,1157544
Barcelona,864248
Barcelona,444299
Barcelona,1436211
Barcelona,636918
Barcelona,366132
Barcelona,1815336
Barcelona,2470000
Barcelona,319616
Barcelona,704770
Barcelona,1598283
Barcelona,764505
Barcelona,2577332
Barcelona,1351196
Barcelona,1918728
Barcelona,1996209
Barcelona,2257515
Barcelona,1191033
Barcelona,500836
Barcelona,446940
Barcelona,1489124
Barcelona,616044
Barcelona,343602
Barcelona,764115
Barcelona,358620
Barcelona,743265
Barcelona,776442
Barcelona,2145315
Barcelona,1558036
Barcelona,882783
Barcelona,1490930
Barcelona,1425690
Barcelona,779220
Barcelona,1071720
Barcelona,1475136
Barcelona,402885
Barcelona,711199
Barcelona,1276600
Barcelona,1781568
Barcelona,1192401
Barcelona,1826938
Barcelona,673552
Barcelona,745600
Barcelona,1504823
Barcelona,2136182
Barcelona,1996000
Barcelona,1538256
Barcelona,1220454
Barcelona,749472
Barcelona,1769644
Barcelona,1591344
Barcelona,1602930
Barcelona,2001280
Barcelona,1371720
Barcelona,560170
Barcelona,1752975
Barcelona,2603190
Barcelona,928041
Barcelona,1699168
Barcelona,379905
Barcelona,1381104
Barcelona,2203620
Barcelona,458640
Barcelona,916500
Barcelona,2017268
Barcelona,360696
Barcelona,1616680
Barcelona,1251828
Barcelona,984915
Barcelona,701492
Barcelona,1102500
Barcelona,1204005
Barcelona,2090340
Barcelona,954986
Barcelona,887940
Barcelona,1327669
Barcelona,718266
Barcelona,1521615
Barcelona,797215
Barcelona,774400
Barcelona,1298947
Barcelona,2415325
Barcelona,2091144
Barcelona,1298500
Barcelona,1470185
Barcelona,1758964
Barcelona,1284045
Barcelona,845370
Barcelona,654885
Barcelona,914839
Barcelona,512430
Barcelona,2470912
Barcelona,888941
Barcelona,950615
Barcelona,1016964
Barcelona,1634373
Barcelona,1559054
Barcelona,949344
Barcelona,1700994
Barcelona,659022
Barcelona,485824
Barcelona,670208
Barcelona,1365936
Barcelona,2618364
Barcelona,2199995
Barcelona,610740
Barcelona,867783
Barcelona,1673607
Barcelona,2205240
Barcelona,1705320
Barcelona,1772540
Barcelona,1199394
Barcelona,643060
Barcelona,733236
Barcelona,1622400
Barcelona,2539236
Barcelona,1694630
Barcelona,996096
Barcelona,380280
Barcelona,760854
Barcelona,219145
Barcelona,531493
Barcelona,307744
Barcelona,506252
Barcelona,1287428
Barcelona,2399312
Barcelona,2977318
Barcelona,403770
Barcelona,2534241
Barcelona,1556282
Barcelona,2180939
Barcelona,583236
Barcelona,2885316
Barcelona,604440
Barcelona,672192
Barcelona,1040252
Barcelona,1134984
Barcelona,1262196
Barcelona,2001266
Barcelona,641080
Barcelona,1734264
Barcelona,1536906
Barcelona,1536212
Barcelona,1484544
Barcelona,896532
Barcelona,2008176
Barcelona,552476
Barcelona,914463
Barcelona,1345213
Barcelona,1319336
Barcelona,2108128
Barcelona,1066527
Barcelona,1905300
Barcelona,544896
Barcelona,538568
Barcelona,1250172
Barcelona,506256
Barcelona,1167020
Barcelona,1638750
Barcelona,2569923
Barcelona,354084
Barcelona,480600
Barcelona,1357648
Barcelona,1262624
Barcelona,799356
Barcelona,407610
Barcelona,1197390
Barcelona,449064
Barcelona,2517034
Barcelona,1370911
Barcelona,1008176
Barcelona,1635030
Barcelona,1045233
Barcelona,367206
Barcelona,1847590
Barcelona,1752093
Barcelona,883446
Barcelona,1274218
Barcelona,789976
Barcelona,2474220
Barcelona,2198403
Barcelona,1367100
Barcelona,1255595
Barcelona,752896
Barcelona,679140
Barcelona,305128
Barcelona,1385200
Barcelona,2797092
Barcelona,1295914
Barcelona,1957200
Barcelona,1421056
Barcelona,339192
Barcelona,1407200
Barcelona,2244066
Barcelona,247584
Barcelona,562394
Barcelona,835600
Barcelona,1997436
Barcelona,1403631
Barcelona,1245165
Barcelona,1060488
Barcelona,906830
Barcelona,1022140
Barcelona,1156990
Barcelona,610816
Barcelona,1296258
Barcelona,1077858
Barcelona,1880032
Barcelona,440500
Barcelona,1369333
Barcelona,511700
Barcelona,1578675
Barcelona,2427311
Barcelona,537825
Barcelona,761520
Barcelona,1856000
Barcelona,814380
Barcelona,885969
Barcelona,1517889
Barcelona,1420132
Barcelona,784080
Barcelona,1788885
Barcelona,381254
Barcelona,2563064
Barcelona,1445090
Barcelona,921827
Barcelona,860676
Barcelona,684356
Barcelona,1005648
Barcelona,1045486
Barcelona,952929
Barcelona,496020
Barcelona,688058
Barcelona,521910
Barcelona,519023
Barcelona,417626
Barcelona,260775
Barcelona,1527516
Barcelona,435670
Barcelona,1127274
Barcelona,2186658
Barcelona,348696
Barcelona,1395837
Barcelona,2233602
Barcelona,1913624
Barcelona,1324008
Barcelona,2439640
Barcelona,397606
Barcelona,1360966
Barcelona,503871
Barcelona,905920
Barcelona,476784
Barcelona,520672
Barcelona,713680
Barcelona,1056714
Barcelona,586920
Barcelona,1800729
Barcelona,1035648
Barcelona,940310
Barcelona,1298025
Barcelona,777868
Barcelona,1630569
Barcelona,1682346
Barcelona,2908500
Barcelona,417564
Barcelona,725474
Barcelona,1296900
Barcelona,2490587
Barcelona,2065357
Barcelona,414829
Barcelona,916229
Barcelona,1808512
Barcelona,1063902
Barcelona,607014
Barcelona,180048
Barcelona,2686236
Barcelona,807432
Barcelona,2078216
Barcelona,999005
Barcelona,2517504
Barcelona,612568
Barcelona,397408
Girona,1945424
Girona,712416
Girona,1815450
Girona,953156
Girona,2158475
Girona,627068
Girona,999328
Girona,820336
Girona,937960
Girona,472615
Girona,1438929
Girona,627348
Girona,1160572
Girona,1057784
Girona,579716
Girona,1537062
Girona,321680
Girona,983234
Girona,2287626
Girona,2212408
Girona,1939925
Girona,1098055
Girona,1069731
Girona,2141700
Girona,2685816
Girona,2067236
Girona,710694
Girona,1188090
Girona,1854496
Girona,1791318
Girona,806799
Girona,973659
Girona,1724008
Girona,2047276
Girona,1461356
Girona,1067192
Girona,678480
Girona,315550
Girona,2028970
Girona,1403595
Girona,1561432
Girona,1395681
Girona,1370759
Girona,1358640
Girona,2400476
Girona,1446522
Girona,779868
Girona,1261600
Girona,553616
Girona,986895
Girona,250852
Girona,720882
Girona,1050985
Girona,298272
Girona,902798
Girona,2002392
Girona,1385011
Girona,1219158
Girona,351256
Girona,420660
Girona,489924
Girona,2010619
Girona,1362348
Girona,1722700
Girona,2104286
Girona,1936102
Girona,873120
Girona,379689
Girona,1620304
Girona,1291116
Girona,968250
Girona,1079449
Girona,1039500
Girona,853750
Girona,1414956
Girona,1081278
Girona,2534505
Girona,2404898
Girona,1437818
Girona,430418
Girona,589960
Girona,786695
Girona,2699136
Girona,307170
Girona,1171894
Girona,1728221
Girona,1150380
Girona,1579284
Girona,2456159
Girona,977740
Girona,332400
Girona,1189250
Girona,877680
Girona,413610
Girona,683175
Girona,1560889
Girona,680830
Girona,418725
Girona,885476
Girona,1707944
Girona,378624
Girona,354320
Girona,1680000
Girona,812808
Girona,775884
Girona,830760
Girona,835152
Girona,1483500
Girona,1164375
Girona,1159296
Girona,427824
Girona,770040
Girona,1750089
Girona,742770
Girona,1268952
Girona,2452989
Girona,952302
Girona,1117753
Girona,1541528
Girona,909821
Girona,2524358
Girona,1001070
Girona,189156
Girona,1159470
Girona,788948
Girona,1616900
Girona,590426
Girona,412740
Girona,1962380
Girona,836836
Girona,520758
Girona,1622646
Girona,1028224
Girona,1506438
Girona,2199476
Girona,358670
Girona,1316073
Girona,1313526
Girona,638064
Girona,1429380
Girona,1594404
Girona,410316
Girona,1292123
Girona,1031121
Girona,2161134
Girona,251596
Girona,1000000
Girona,1403988
Girona,2215002
Girona,1289748
Girona,1916442
Girona,1875012
Girona,960526
Girona,1881950
Girona,1571973
Girona,811780
Girona,1077601
Girona,1050203
Girona,435712
Girona,999630
Girona,919632
Girona,1218763
Girona,879244
Girona,2171826
Girona,1427019
Girona,1567060
Girona,1816437
Girona,1191044
Girona,981651
Girona,2646181
Girona,2306238
Girona,711382
Girona,1153173
Girona,1015956
Girona,1080548
Girona,1953873
Girona,2787016
Girona,1730550
Girona,1963166
Girona,2057832
Girona,1520627
Girona,1392168
Girona,311563
Girona,662316
Girona,622144
Girona,827062
Girona,789140
Girona,542974
Girona,1251315
Girona,2023200
Girona,2553225
Girona,1501560
Girona,1713120
Girona,736092
Girona,611546
Girona,518508
Girona,1081360
Girona,1168440
Girona,555246
Girona,1225244
Girona,2145480
Girona,1335936
Girona,556116
Girona,411700
Girona,2411808
Girona,1122240
Girona,2354481
Girona,1044480
Girona,1213212
Girona,223564
Girona,299996
Girona,1455693
Girona,853852
Girona,869196
Girona,1478742
Girona,580032
Girona,415552
Girona,630224
Girona,733470
Girona,1392006
Girona,484560
Girona,1709567
Girona,880900
Girona,1021334
Girona,583110
Girona,1040478
Girona,1061160
Girona,731929
Girona,1391091
Girona,1032118
Girona,1768020
Girona,1650200
Girona,2379048
Girona,891456
Girona,553608
Girona,523160
Girona,1054544
Girona,1390460
Girona,1259202
Girona,1370964
Girona,590875
Girona,1191281
Girona,2543625
Girona,1653456
Girona,479892
Girona,933444
Girona,366480
Girona,1869885
Girona,2213909
Girona,2212740
Girona,573040
Girona,1932552
Girona,1962360
Girona,558030
Girona,1447551
Girona,1725597
Girona,2153852
Girona,1510320
Girona,1938400
Girona,1732500
Girona,535584
Girona,1038590
Girona,525616
Girona,722925
Girona,1193408
Girona,1059303
Girona,2273762
Girona,2326118
Girona,1346961
Girona,690184
Girona,448932
Girona,2101743
Girona,430743
Girona,1437360
Girona,945702
Girona,2101862
Girona,452962
Girona,889980
Girona,352972
Girona,923355
Girona,325326
Girona,2402920
Girona,1823280
Girona,624600
Girona,224280
Girona,300105
Girona,573230
Girona,607200
Girona,2808008
Girona,1134452
Girona,592152
Girona,777686
Girona,1370138
Girona,2209344
Girona,539392
Girona,621314
Girona,1279434
Girona,499244
Girona,1037498
Girona,1707660
Girona,1339044
Girona,879357
Girona,1215344
Girona,899640
Girona,742176
Girona,1966272
Girona,1614170
Girona,1136502
Girona,1697640
Girona,484592
Girona,1203246
Girona,360540
Girona,756208
Girona,442300
Girona,375813
Girona,1401633
Girona,2055310
Girona,743360
Girona,614048
Girona,1449512
Girona,395850
Girona,655690
Girona,1729416
Girona,1805475
Girona,785068
Girona,1526840
Girona,2422720
Girona,820608
Girona,484200
Girona,269516
Girona,1477428
Girona,1362843
Girona,354360
Girona,1620192
Girona,1149525
Girona,1191044
Girona,1500984
Girona,1599233
Girona,1004608
Girona,812660
Girona,682344
Girona,2872287
Girona,899228
Girona,1751450
Girona,1702590
Girona,2371392
Girona,2589312
Girona,1059680
Girona,1523880
Girona,841484
Girona,2478566
Girona,454416
Girona,1367366
Girona,493971
Girona,163920
Girona,1007688
Girona,425712
Girona,1064637
Girona,729579
Girona,350155
Girona,567486
Girona,1363950
Girona,958464
Girona,814793
Girona,2288520
Girona,1892772
Girona,804640
Girona,1046925
Girona,1923264
Girona,804768
Girona,2417572
Girona,493166
Girona,2120067
Girona,1132230
Girona,2228439
Girona,548000
Girona,1306664
Girona,1504755
Girona,706690
Girona,455000
Girona,1691085
Girona,456532
Girona,1039452
Girona,563085
Girona,1393157
Girona,364270
Girona,1121906
Girona,1241034
Girona,1590010
Girona,256630
Girona,1175160
Girona,778430
Girona,2512640
Girona,2594780
Girona,2180628
Girona,2419209
Girona,781000
Girona,1217501
Girona,1456999
Girona,586908
Girona,1132608
Girona,1257075
Girona,1542580
Girona,540452
Girona,361759
Girona,1405852
Girona,381494
Girona,1294110
Girona,944385
Girona,824688
Girona,1074921
Girona,583638
Girona,1881810
Girona,1723040
Girona,1832100
Girona,916418
Girona,1026774
Girona,2170945
Girona,568880
Girona,1606206
Girona,1311730
Girona,690396
Girona,399488
Girona,1477410
Girona,375592
Girona,1658800
Girona,2440449
Girona,739864
Girona,1448384
Girona,1156808
Girona,958132
Girona,1147608
Girona,601398
Girona,2233120
Girona,1933372
Girona,1789214
Girona,2290046
Girona,1459192
Girona,1441070
Girona,1932448
Girona,700854
Girona,581580
Girona,681884
Girona,1826825
Girona,1234048
Girona,1143412
Girona,1333434
Girona,1430352
Girona,838292
Girona,428190
Girona,2630336
Girona,2183760
Girona,474084
Girona,1758786
Girona,1514057
Girona,678132
Girona,446313
Girona,1512738
Girona,809115
Girona,658835
Girona,749275
Girona,2184364
Girona,1747392
Girona,970314
Girona,1811680
Girona,1244056
Girona,1382707
Girona,2010312
Girona,686232
Girona,368676
Girona,1556226
Girona,437640
Girona,2390750
Girona,1169860
Girona,1182053
Girona,2475510
Girona,1327606
Girona,781120
Girona,1421060
Girona,1263040
Girona,2467960
Girona,1883088
Girona,2083779
Girona,304113
Girona,667299
Girona,1074332
Girona,1895293
Girona,523481
Girona,1644747
Girona,974610
Girona,912798
Girona,1508988
Girona,2333058
Girona,426880
Girona,783370
Girona,301815
Girona,2347137
Girona,655893
Girona,557127
Girona,187680
Girona,854496
Girona,795696
Girona,1265992
Girona,693631
Girona,941154
Girona,747947
Girona,1527120
Girona,753786
Girona,2103000
Girona,1028382
Girona,804344
Girona,857925
Girona,490507
Girona,387828
Girona,425565
Girona,875978
Girona,1770930
Girona,2110342
Girona,651192
Girona,1774528
Girona,2029607
Girona,1407726
Girona,2815292
Girona,763233
Girona,2471249
Girona,368959
Girona,616192
Girona,1247750
Girona,761047
Girona,2346400
Girona,2331648
Girona,386036
Girona,1730675
Girona,2462280
Girona,1461570
Girona,2030783
Girona,2049606
Girona,500610
Girona,2245203
Girona,1422220
Girona,2387832
Girona,1428480
Girona,472685
Girona,1427118
Girona,1133199
Girona,509600
Girona,378900
Girona,757434
Girona,1041120
Girona,1539800
Girona,1949220
Girona,1163542
Girona,2108109
Girona,928243
Girona,770968
Girona,1660120
Girona,1647409
Girona,1586032
Girona,1002122
Girona,493924
Girona,1882440
Girona,657500
Girona,1908286
Girona,1929198
Girona,927927
Girona,980934
Girona,732028
Girona,1205347
Girona,1510825
Girona,1202850
Girona,503828
Girona,1930614
Girona,1159650
Girona,2175360
Girona,1243699
Girona,1219730
Girona,1611708
Girona,1413698
Girona,2797050
Girona,885998
Girona,823150
Girona,1501650
Girona,2034042
Girona,238014
Girona,433370
Girona,875336
Girona,780148
Girona,1227937
Girona,403727
Girona,595660
Girona,593352
Girona,770800
Girona,1189377
Girona,418610
Girona,1789185
Girona,1400308
Girona,729444
Girona,1944570
Girona,960960
Girona,1282820
Girona,1085160
Girona,886215
Girona,668322
Girona,1777866
Girona,622200
Girona,1567020
Girona,1363352
Girona,533680
Girona,1548800
Girona,686826
Girona,984369
Girona,1921260
Girona,1002500
Girona,680043
Girona,1784580
Girona,2281250
Girona,708795
Girona,2144448
Girona,1356498
Girona,1802993
Girona,2200405
Girona,832529
Girona,1113016
Girona,853370
Girona,1294176
Girona,2320565
Girona,2682225
Girona,2037420
Girona,1315846
Girona,380274
Girona,2336590
Girona,1682260
Girona,1162788
Girona,922200
Girona,1524898
Girona,1342278
Girona,1026300
Girona,616878
Girona,2353176
Girona,1447316
Girona,1147585
Girona,378359
Girona,1368480
Girona,872280
Girona,745822
Girona,918652
Girona,2069529
Girona,2717634
Girona,1027180
Girona,1267452
Girona,2162160
Girona,2250348
Girona,620218
Girona,1087812
Girona,1988702
Girona,320281
Girona,396780
Girona,536634
Girona,2849763
Girona,373106
Girona,1691124
Girona,594698
Girona,1576380
Girona,304288
Girona,546440
Girona,580856
Girona,350610
Girona,598320
Girona,766320
Girona,390400
Girona,2189534
Girona,1061710
Girona,889608
Girona,1315648
Girona,1076250
Girona,891849
Girona,1039380
Girona,489600
Girona,1021000
Girona,497546
Girona,714999
Girona,598195
Girona,515555
Girona,1202537
Girona,1994382
Girona,1422537
Girona,696169
Girona,1456322
Girona,1053227
Girona,1093456
Girona,2909412
Girona,557604
Girona,1041448
Girona,336043
Girona,889350
Girona,2574558
Girona,326598
Girona,498560
Girona,1230240
Girona,2173169
Girona,380072
Girona,1695948
Girona,1025491
Girona,1191610
Girona,2326346
Girona,1643568
Girona,2445724
Girona,2153580
Girona,1994933
Girona,478431
Girona,1967242
Girona,2242839
Girona,1088616
Girona,1475172
Girona,1519214
Girona,1194078
Girona,2291404
Girona,496881
Girona,372672
Girona,1780199
Girona,2381770
Girona,1658785
Girona,1242498
Girona,288966
Girona,777240
Girona,1565620
Girona,1370500
Girona,360582
Girona,1923558
Girona,1659742
Girona,1405465
Girona,1210496
Girona,1766310
Girona,1126944
Girona,466850
Girona,379291
Girona,1041625
Girona,660577
Girona,1843361
Girona,1940565
Girona,2267622
Girona,1105230
Girona,821889
Girona,1623600
Girona,637103
Girona,1704050
Girona,342705
Girona,1607710
Girona,722013
Girona,950832
Girona,815467
Girona,850029
Girona,265289
Girona,1058832
Girona,1045905
Girona,344811
Girona,563760
Girona,1454836
Girona,831204
Girona,360822
Girona,643290
Girona,353628
Girona,905600
Girona,1130424
Girona,693543
Girona,1186524
Girona,1528088
Girona,432411
Girona,1059956
Girona,575640
Girona,703159
Girona,1559800
Girona,1147144
Girona,670310
Girona,1079670
Girona,789738
Girona,2041006
Girona,709760
Girona,2086368
Girona,651360
Girona,913449
Girona,2673000
Girona,1882433
Girona,1751124
Girona,1399264
Girona,1321161
Girona,2398617
Girona,429730
