,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
890,891,2004-11-13,Casa,Venta,Girona,255,2543625,2005-08-29,Pedro
901,902,2004-11-17,Oficina,Alquiler,Barcelona,294,2722146,2005-11-05,Joaquín
968,969,2004-12-14,Piso,Venta,Lleida,272,2581552,2005-10-22,Pedro
999,1000,2004-12-24,Parking,Venta,Lleida,300,2707200,2005-10-15,Luisa
1001,1002,2004-12-25,Piso,Alquiler,Barcelona,292,2677056,2005-07-22,María
1065,1066,2005-01-20,Suelo,Venta,Girona,287,2808008,2005-06-24,Pedro
1085,1086,2005-01-25,Piso,Alquiler,Lleida,260,2546180,2005-05-23,Carmen
1117,1118,2005-02-09,Parking,Alquiler,Lleida,293,2741308,2005-10-20,María
1153,1154,2005-02-20,Piso,Alquiler,Barcelona,292,2865688,2005-08-21,Carmen
1215,1216,2005-03-10,Piso,Alquiler,Lleida,281,2688046,2005-10-24,Luisa
1239,1240,2005-03-19,Industrial,Alquiler,Lleida,285,2562435,2005-06-20,Carmen
1285,1286,2005-04-05,Parking,Alquiler,Girona,297,2872287,2005-09-16,Luisa
1300,1301,2005-04-10,Suelo,Venta,Tarragona,299,2531334,2005-12-18,Carmen
1306,1307,2005-04-15,Industrial,Venta,Girona,264,2589312,2005-07-20,Pedro
1335,1336,2005-04-22,Industrial,Alquiler,Tarragona,266,2583126,2005-12-02,Pedro
1371,1372,2005-05-04,Industrial,Venta,Barcelona,286,2633774,2005-09-01,Carmen
1469,1470,2005-06-09,Industrial,Alquiler,Tarragona,274,2690954,2006-05-17,Joaquín
1473,1474,2005-06-11,Casa,Alquiler,Tarragona,269,2549313,2006-02-20,Carmen
1483,1484,2005-06-13,Parking,Alquiler,Barcelona,282,2677590,2006-04-08,Luisa
1495,1496,2005-06-18,Suelo,Venta,Lleida,278,2520904,2006-05-12,Luisa
1505,1506,2005-06-22,Suelo,Alquiler,Girona,256,2512640,2006-03-16,Jesús
1507,1508,2005-06-22,Casa,Venta,Girona,274,2594780,2006-02-23,María
1641,1642,2005-08-10,Industrial,Venta,Lleida,276,2667816,2005-12-16,Joaquín
1646,1647,2005-08-12,Local,Venta,Tarragona,297,2888325,2005-11-27,Pedro
1676,1677,2005-08-27,Industrial,Venta,Lleida,300,2625600,2006-01-08,María
1742,1743,2005-09-17,Casa,Venta,Girona,292,2630336,2006-01-08,Joaquín
1786,1787,2005-10-03,Parking,Venta,Tarragona,299,2669472,2006-06-10,Joaquín
1923,1924,2005-11-25,Parking,Alquiler,Tarragona,295,2613405,2006-11-23,Carmen
1956,1957,2005-12-08,Oficina,Alquiler,Barcelona,293,2868470,2006-03-18,Luisa
1979,1980,2005-12-20,Local,Venta,Lleida,281,2671748,2006-12-18,Carmen
1984,1985,2005-12-21,Piso,Venta,Tarragona,289,2789428,2006-04-29,Pedro
1988,1989,2005-12-22,Casa,Venta,Barcelona,276,2548584,2006-10-13,Jesús
2015,2016,2005-12-31,Casa,Alquiler,Girona,284,2815292,2006-12-07,Jesús
2206,2207,2006-02-28,Casa,Venta,Barcelona,281,2577332,2006-07-03,Carmen
2265,2266,2006-03-21,Oficina,Venta,Girona,290,2797050,2006-10-02,Luisa
2307,2308,2006-04-05,Local,Alquiler,Lleida,261,2598516,2006-08-29,Carmen
2375,2376,2006-05-01,Casa,Alquiler,Tarragona,296,2813776,2006-10-22,Luisa
2394,2395,2006-05-10,Piso,Alquiler,Tarragona,300,2585100,2006-10-15,Luisa
2424,2425,2006-05-20,Suelo,Venta,Barcelona,285,2603190,2006-11-15,Joaquín
2428,2429,2006-05-21,Casa,Venta,Girona,273,2682225,,
2484,2485,2006-06-07,Industrial,Alquiler,Tarragona,270,2632500,2007-04-18,Carmen
2489,2490,2006-06-10,Industrial,Alquiler,Tarragona,298,2693026,,
2502,2503,2006-06-13,Parking,Venta,Girona,282,2717634,2006-11-30,Pedro
2541,2542,2006-06-30,Oficina,Venta,Girona,291,2849763,2007-04-28,Joaquín
2576,2577,2006-07-13,Piso,Alquiler,Lleida,290,2702220,2007-03-16,Carmen
2589,2590,2006-07-19,Suelo,Alquiler,Lleida,273,2682225,2007-02-04,Pedro
2612,2613,2006-07-28,Casa,Venta,Barcelona,294,2618364,,
2621,2622,2006-07-31,Oficina,Alquiler,Lleida,291,2874207,2007-04-24,Jesús
2653,2654,2006-08-13,Piso,Alquiler,Girona,297,2909412,,
2665,2666,2006-08-21,Oficina,Venta,Barcelona,258,2539236,2007-01-11,Joaquín
2675,2676,2006-08-23,Piso,Venta,Girona,294,2574558,,
2696,2697,2006-08-31,Oficina,Venta,Barcelona,298,2977318,,
2702,2703,2006-09-04,Casa,Venta,Barcelona,289,2534241,2007-01-28,María
2730,2731,2006-09-13,Piso,Venta,Barcelona,294,2885316,2007-02-13,María
2805,2806,2006-10-13,Oficina,Alquiler,Tarragona,271,2621925,2007-02-19,Carmen
2807,2808,2006-10-14,Suelo,Alquiler,Tarragona,293,2560527,,
2824,2825,2006-10-22,Casa,Venta,Lleida,275,2669425,2007-03-23,Jesús
2856,2857,2006-11-03,Suelo,Alquiler,Barcelona,283,2569923,2007-03-28,Pedro
2883,2884,2006-11-09,Piso,Alquiler,Lleida,285,2565285,,
2891,2892,2006-11-13,Industrial,Venta,Barcelona,262,2517034,,
2970,2971,2006-12-14,Industrial,Alquiler,Barcelona,291,2797092,,
3006,3007,2006-12-26,Casa,Alquiler,Girona,297,2673000,,
3024,3025,2007-01-04,Oficina,Alquiler,Lleida,293,2662784,,
3058,3059,2007-01-14,Casa,Alquiler,Lleida,290,2797050,,
3098,3099,2007-01-29,Oficina,Alquiler,Barcelona,296,2563064,,
3120,3121,2007-02-06,Parking,Alquiler,Tarragona,292,2658076,,
3125,3126,2007-02-10,Oficina,Venta,Tarragona,297,2902284,,
3235,3236,2007-03-20,Casa,Alquiler,Girona,292,2765240,,
3267,3268,2007-04-01,Industrial,Alquiler,Barcelona,300,2908500,,
3288,3289,2007-04-09,Parking,Venta,Lleida,296,2914416,,
3297,3298,2007-04-12,Suelo,Venta,Tarragona,282,2689434,,
3322,3323,2007-04-23,Piso,Venta,Barcelona,283,2686236,,
3328,3329,2007-04-26,Piso,Venta,Barcelona,264,2517504,,
