,Precio Venta,Fecha Venta,Vendedor
69,1647695,2004-07-12,María
70,1939925,2004-11-01,Carmen
71,1478952,2004-10-15,Carmen
72,320044,2004-09-04,Joaquín
73,1098055,2004-10-22,Joaquín
74,187862,2004-08-14,Jesús
75,1757106,2004-12-28,Pedro
76,1104992,2004-06-25,Pedro
77,448485,2004-10-04,María
78,2520484,2004-11-27,Carmen
79,1339107,2004-10-05,Carmen
80,1812244,2004-11-17,Pedro
81,1069731,2004-09-14,Pedro
82,471072,2004-05-29,María
83,470940,2004-07-28,Carmen
84,925322,2004-06-03,Joaquín
85,2141700,2005-01-08,Jesús
86,778875,2004-05-12,Luisa
87,421196,2004-10-10,Pedro
88,219716,2004-09-27,Jesús
89,2685816,2004-07-24,Pedro
90,723609,2004-12-16,Joaquín
91,388032,2004-05-06,Jesús
92,922020,2004-10-23,Joaquín
93,965358,2004-06-08,Luisa
94,663816,2004-05-23,Joaquín
95,728931,2005-02-05,Jesús
96,625536,2004-11-07,Jesús
97,1467782,2005-02-01,Carmen
98,2067236,2004-12-22,María
99,531375,2004-06-23,Jesús
100,710694,2004-09-27,María
101,438435,2004-05-23,Luisa
102,1188090,2004-07-19,María
103,699400,2004-07-14,Luisa
104,1854496,2005-02-02,Luisa
105,2105700,2005-01-26,Pedro
106,1791318,2004-12-13,Jesús
107,1782297,2004-12-20,Joaquín
108,1528200,2004-08-09,Pedro
109,1587642,2004-12-20,Luisa
110,954666,2004-11-25,Joaquín
111,1064800,2004-09-22,Pedro
112,887241,2005-01-02,Luisa
113,806799,2005-01-11,Joaquín
114,438750,2004-08-15,Carmen
115,973659,2005-01-04,Jesús
116,1724008,2004-09-26,Joaquín
117,2047276,2004-09-10,Luisa
118,307989,2004-07-06,Pedro
119,973878,2004-12-13,Jesús
120,688864,2004-12-06,Jesús
121,1385910,2005-02-05,Pedro
122,1461356,2004-07-30,Pedro
123,926228,2004-09-05,Joaquín
124,1067192,2004-08-25,Carmen
125,1373132,2004-08-31,María
126,1087119,2004-05-29,Jesús
127,1230190,2005-01-04,Luisa
128,1363926,2005-01-08,Carmen
129,1389096,2004-11-23,Luisa
130,477345,2004-09-04,Carmen
131,1268630,2004-12-04,Jesús
132,391964,2004-11-14,Pedro
133,1765225,2005-02-20,Joaquín
134,229455,2004-10-05,Jesús
135,624435,2004-06-24,Joaquín
136,686154,2005-01-19,Pedro
137,678480,2004-12-28,Luisa
138,533925,2004-09-22,Joaquín
139,1076034,2004-06-02,María
140,455477,2004-12-31,Joaquín
141,1128156,2004-09-23,Pedro
142,1310520,2004-12-28,María
143,782870,2004-11-19,Pedro
144,315550,2004-10-14,Pedro
145,2028970,2004-08-20,Luisa
146,734388,2004-05-28,Joaquín
147,779241,2004-05-30,María
148,1492506,2005-02-12,Luisa
149,1800516,2004-12-19,Jesús
150,1259904,2004-10-02,Luisa
151,1063648,2005-02-13,María
152,434656,2004-07-13,María
153,508924,2004-09-03,Pedro
154,1403595,2004-10-02,Pedro
155,1561432,2004-07-01,Pedro
156,1891932,2004-10-02,María
157,731700,2004-10-10,Luisa
158,563178,2004-08-01,Pedro
159,875228,2004-07-23,María
160,1305480,2004-07-29,Jesús
161,1361675,2004-08-16,Jesús
162,1161090,2004-11-23,Carmen
163,1395681,2004-09-13,Carmen
164,1001104,2004-10-11,Luisa
165,2275500,2004-07-29,Luisa
166,1370759,2005-01-14,Luisa
167,1842035,2004-10-15,Joaquín
168,2080078,2004-07-14,Jesús
169,597286,2005-02-20,Joaquín
170,1358640,2004-11-13,Joaquín
171,558252,2004-10-19,María
172,2400476,2005-03-08,Joaquín
173,1131416,2004-08-25,Joaquín
174,416936,2004-08-25,Carmen
175,1658835,2004-08-30,Jesús
176,1431012,2004-09-01,Jesús
177,513300,2004-10-26,María
178,848328,2005-02-27,Jesús
179,1874928,2004-06-21,Jesús
180,367584,2004-08-11,Joaquín
181,1323054,2004-08-25,Joaquín
182,1446522,2004-09-02,Carmen
183,1447992,2004-10-24,Pedro
184,2109930,2004-08-27,María
185,779868,2004-10-23,Jesús
186,919030,2004-12-10,María
187,537264,2005-02-08,Carmen
188,1261600,2004-10-25,Jesús
189,448210,2004-10-25,Pedro
190,431325,2004-07-23,Carmen
191,553616,2005-03-09,Pedro
192,453651,2004-10-07,María
193,986895,2004-09-14,Pedro
194,250852,2004-07-21,Carmen
195,1336717,2004-11-10,Carmen
196,519738,2005-01-13,Carmen
197,720882,2004-08-14,Pedro
198,842343,2005-03-10,María
199,2108343,2004-09-26,Pedro
200,1050985,2004-11-09,Pedro
201,298272,2004-08-13,María
202,902798,2004-07-16,Luisa
203,692180,2004-11-09,Luisa
204,2002392,2004-12-04,Luisa
205,2253500,2005-02-21,Joaquín
206,1338124,2004-08-19,Luisa
207,1369680,2004-09-27,Pedro
208,1643948,2004-09-21,María
209,1297594,2005-03-03,Carmen
210,2134246,2004-08-11,Carmen
211,492156,2004-10-25,Carmen
212,1932518,2005-01-19,Pedro
213,1385011,2004-08-26,Carmen
214,1219158,2004-07-13,Pedro
215,1494892,2005-02-02,María
216,1398600,2004-11-03,Luisa
217,461435,2004-12-31,Carmen
218,351256,2005-03-28,Luisa
219,1042283,2004-09-17,Jesús
220,474600,2004-08-27,Pedro
221,420660,2004-10-02,María
222,489924,2004-09-09,Luisa
223,1032000,2004-08-21,Luisa
224,1069320,2004-12-15,Jesús
225,1133132,2004-08-29,Joaquín
226,1670965,2004-09-09,Luisa
227,2010619,2004-11-12,Jesús
228,739206,2005-01-25,Carmen
229,1382166,2005-03-01,Pedro
230,665951,2005-02-18,Pedro
231,1479548,2004-11-03,María
232,1362348,2004-10-05,Joaquín
233,1722700,2005-03-26,Carmen
234,848358,2004-11-02,Pedro
235,2104286,2004-08-26,Carmen
236,1748850,2004-10-07,Pedro
237,995520,2005-02-01,Jesús
238,2338032,2005-01-02,Pedro
239,1298716,2004-12-03,Luisa
240,2038660,2004-07-26,Carmen
241,656535,2004-08-16,Jesús
242,1870546,2005-03-31,Luisa
243,1431076,2004-12-22,María
244,1176597,2004-07-07,Joaquín
245,1936102,2005-04-08,Jesús
246,1582527,2004-12-09,Jesús
247,873120,2004-12-26,Pedro
248,2026401,2004-12-13,Joaquín
249,747075,2005-02-01,Pedro
250,1130632,2005-01-22,Pedro
251,1622040,2004-10-15,María
252,567206,2004-08-08,María
253,379689,2004-10-29,Pedro
254,424536,2005-03-04,Pedro
255,1620304,2004-10-05,Carmen
256,1220697,2005-02-09,Carmen
257,1099648,2005-02-13,María
258,1183212,2005-02-26,Luisa
259,1750014,2004-12-09,Luisa
260,1107108,2005-04-07,Joaquín
261,1449629,2004-09-14,Luisa
262,1006988,2004-08-06,María
263,1770912,2005-03-02,Jesús
264,927255,2004-11-21,Luisa
265,1125792,2004-09-16,Jesús
266,1291116,2004-09-27,Carmen
267,968250,2005-02-15,María
268,446888,2004-09-01,María
269,1342906,2004-10-31,Joaquín
270,1093281,2005-01-02,Jesús
271,2409210,2004-09-03,Carmen
272,722880,2005-02-14,Joaquín
273,1102880,2005-03-17,Jesús
274,1079449,2004-11-20,Pedro
275,1039500,2004-11-17,Pedro
276,2038586,2005-01-06,Jesús
277,853750,2004-08-25,Carmen
278,1414956,2005-02-26,María
279,881804,2004-08-25,Pedro
280,1081278,2005-04-13,Carmen
281,2534505,2004-12-28,Jesús
282,1336298,2004-11-27,Pedro
283,2404898,2004-10-20,Luisa
284,712712,2005-01-10,Jesús
285,523770,2005-01-24,Jesús
286,1360800,2004-07-22,Jesús
287,924294,2005-01-19,Luisa
288,895359,2005-02-17,Pedro
289,1437818,2005-03-27,Jesús
290,1877675,2004-09-11,Pedro
291,258444,2005-03-08,Pedro
292,430418,2005-02-09,Luisa
293,589960,2005-03-18,Carmen
294,786695,2004-11-21,Luisa
295,1773780,2005-03-28,Pedro
296,2699136,2004-07-28,Pedro
297,600596,2004-11-23,Luisa
298,307170,2005-04-16,Joaquín
299,683230,2005-02-06,Carmen
300,1458176,2005-02-12,Carmen
301,1171894,2005-03-22,Pedro
302,1728221,2004-08-30,Carmen
303,2612566,2005-02-16,Pedro
304,1150380,2004-11-18,Joaquín
305,1055912,2004-09-28,Jesús
306,1645616,2005-04-14,Carmen
307,1521216,2005-03-16,Carmen
308,1763517,2004-09-06,Luisa
309,792792,2004-09-23,Pedro
310,605425,2004-12-29,Carmen
311,1579284,2005-01-07,Luisa
312,391391,2005-02-13,Luisa
313,1386900,2005-03-21,Joaquín
314,2439971,2005-02-14,Joaquín
315,2571111,2005-02-07,Carmen
316,1754992,2004-08-26,Jesús
317,440772,2004-11-17,Jesús
318,961368,2004-09-04,Luisa
319,2456159,2004-08-04,María
320,977740,2004-08-12,Pedro
321,255906,2004-11-09,María
322,1592166,2004-10-15,María
323,876060,2004-12-31,Carmen
324,332400,2004-08-30,Joaquín
325,1227224,2004-10-08,Luisa
326,1022040,2005-03-28,Jesús
327,1369368,2005-04-17,Jesús
328,1922325,2004-11-11,María
329,1189250,2004-10-26,Pedro
330,990355,2004-12-08,Luisa
331,877680,2005-03-31,Luisa
332,803000,2004-08-25,Jesús
333,2110966,2005-01-22,Pedro
334,634920,2005-04-27,Joaquín
335,1394461,2005-01-28,María
336,413610,2004-09-15,Pedro
337,361661,2005-01-28,Carmen
338,683175,2004-09-04,Joaquín
339,783783,2004-12-01,Jesús
340,1990697,2004-11-02,Pedro
341,1992228,2004-12-21,Pedro
342,1178100,2004-11-12,Luisa
343,1083466,2004-09-19,Jesús
344,1263495,2005-01-01,Jesús
345,1320676,2004-12-23,Pedro
346,851852,2004-09-18,Carmen
347,1560889,2005-03-26,Joaquín
348,1398852,2004-11-01,María
349,680830,2004-09-21,María
350,418725,2005-04-24,Pedro
351,2060550,2004-10-10,Luisa
352,1980185,2004-08-14,Carmen
353,885476,2005-03-30,Carmen
354,1181686,2004-10-15,Carmen
355,830830,2005-02-03,Luisa
356,1707944,2004-08-19,Pedro
357,1180048,2004-11-04,Joaquín
358,1176630,2005-03-18,Jesús
359,896220,2005-03-19,Luisa
360,1505925,2005-03-10,Luisa
361,732495,2004-12-02,Luisa
362,378624,2005-03-30,Carmen
363,1257036,2004-12-26,Luisa
364,673355,2004-10-16,María
365,961192,2005-05-10,Jesús
366,501220,2005-03-24,Jesús
367,354320,2004-10-18,Carmen
368,1238339,2004-12-27,Luisa
369,1377975,2004-09-14,Jesús
370,1109980,2004-12-08,Luisa
371,1317529,2005-05-03,Luisa
372,822811,2005-05-21,Pedro
373,895287,2004-11-13,Jesús
374,1398630,2005-04-10,María
375,1210053,2004-09-04,Jesús
376,525210,2005-04-16,Pedro
377,1680000,2004-09-17,María
378,812808,2004-10-13,Jesús
379,2586704,2005-03-27,Carmen
380,775884,2004-10-21,Joaquín
381,2582184,2005-04-24,Luisa
382,1331166,2004-12-28,Joaquín
383,1823400,2004-10-20,Joaquín
384,1746405,2005-03-20,Luisa
385,830760,2004-09-13,Pedro
386,486472,2004-09-04,Joaquín
387,835152,2005-02-13,Jesús
388,882784,2005-02-02,Luisa
389,389350,2004-12-10,Luisa
390,1483500,2005-03-29,Carmen
391,1560450,2005-02-06,Jesús
392,1164375,2005-03-04,Pedro
393,946792,2005-04-17,María
394,1159296,2005-05-23,Carmen
395,1602544,2004-09-07,Jesús
396,933321,2005-05-10,Joaquín
397,427824,2004-11-08,Luisa
398,483860,2005-01-24,Pedro
399,1225120,2005-01-22,Carmen
400,2682900,2005-06-02,Pedro
401,2188138,2005-01-21,María
402,770040,2005-04-26,Jesús
403,702576,2005-03-22,Carmen
404,1804992,2005-01-20,Jesús
405,1883700,2005-02-23,Carmen
406,1383480,2004-12-16,María
407,729788,2005-01-22,Pedro
408,1750089,2005-04-05,Luisa
409,435252,2004-10-30,Luisa
410,742770,2004-11-27,Luisa
411,1268952,2004-10-14,María
412,1527498,2005-05-14,Luisa
413,425432,2004-09-23,Luisa
414,386584,2004-12-17,Carmen
415,1287807,2004-09-11,Carmen
416,1381506,2005-04-14,Luisa
417,2452989,2005-01-26,Joaquín
418,952302,2004-12-06,Luisa
419,1019160,2005-05-29,Carmen
420,1209735,2005-05-05,Pedro
421,637308,2004-11-09,Jesús
422,1090180,2004-12-16,Luisa
423,1945755,2004-11-06,Jesús
424,1117753,2004-12-11,María
425,1042659,2004-10-12,Jesús
426,583362,2005-05-04,Carmen
427,338364,2005-01-04,Carmen
428,2190493,2004-11-02,Jesús
429,1388175,2004-10-29,Luisa
430,1116441,2004-12-19,Jesús
431,1980300,2005-01-01,Joaquín
432,852480,2005-06-04,Carmen
433,1898628,2004-12-15,Joaquín
434,1541528,2005-02-03,Jesús
435,783195,2004-11-20,Carmen
436,909821,2005-05-03,Luisa
437,1543344,2004-12-26,Luisa
438,2524358,2004-10-23,Luisa
439,1077665,2004-09-19,Jesús
440,790602,2004-11-09,Carmen
441,872063,2005-02-26,Pedro
442,1001070,2004-10-14,Jesús
443,1005312,2005-06-09,Luisa
444,189156,2004-11-25,Jesús
445,419178,2005-03-18,Jesús
446,1779458,2005-01-24,Pedro
447,1159470,2004-10-02,Pedro
448,788948,2005-04-08,Pedro
449,1674744,2005-05-01,Luisa
450,406998,2005-04-25,Joaquín
451,2097970,2004-11-13,Pedro
452,1616900,2005-04-08,Jesús
453,458568,2004-10-06,Luisa
454,2439512,2005-01-02,Carmen
455,1797120,2004-12-31,María
456,511680,2005-06-05,Luisa
457,587880,2004-10-03,Jesús
458,590426,2004-11-03,María
459,322322,2005-03-12,Joaquín
460,412740,2004-09-26,María
461,924732,2005-04-28,María
462,1962380,2005-06-01,Pedro
463,836836,2005-06-15,Luisa
464,2628812,2005-03-15,Pedro
465,242704,2004-10-03,Joaquín
466,520758,2005-06-16,Pedro
467,870105,2005-04-02,Jesús
468,546780,2004-12-13,Pedro
469,875544,2004-11-01,Jesús
470,801350,2005-01-14,Pedro
471,1820016,2005-01-08,María
472,872760,2005-03-26,Carmen
473,1622646,2005-06-23,Jesús
474,568480,2004-12-03,Pedro
475,851488,2005-05-25,Carmen
476,855442,2004-10-20,Jesús
477,913248,2005-05-13,Luisa
478,1028224,2005-05-26,Luisa
479,530816,2004-10-07,Luisa
480,1166780,2005-01-10,Jesús
481,1983123,2005-06-16,María
482,946710,2005-01-04,Carmen
483,1506438,2004-12-03,Luisa
484,1093608,2005-02-27,Luisa
485,2199476,2005-06-04,Luisa
486,2475063,2005-01-21,Carmen
487,1306840,2005-05-17,Carmen
488,253920,2005-01-30,Luisa
489,1911312,2005-04-08,Luisa
490,358670,2005-06-04,Luisa
491,1298328,2005-03-10,Jesús
492,1948583,2004-12-21,María
493,1729762,2005-07-03,Luisa
494,2578696,2005-06-28,Luisa
495,1166065,2004-12-07,Jesús
496,1316073,2005-04-02,Pedro
497,1004740,2005-07-03,Luisa
498,531432,2005-05-22,Joaquín
499,2238000,2005-05-06,Pedro
500,965006,2005-02-02,Pedro
501,2087904,2005-01-29,Jesús
502,647352,2005-06-07,María
503,1216254,2005-04-09,María
504,860172,2005-05-16,Luisa
505,1207195,2004-10-14,Luisa
506,1032546,2004-11-07,Carmen
507,2297538,2004-11-22,Jesús
508,428240,2005-02-01,Pedro
509,1175860,2005-07-05,Joaquín
510,258560,2005-03-22,Jesús
511,1782940,2004-11-13,Joaquín
512,1841622,2005-01-21,Jesús
513,741228,2004-12-28,Luisa
514,262777,2004-12-22,Carmen
515,720902,2005-06-23,Carmen
516,1313526,2005-01-16,Pedro
517,638064,2004-10-24,Luisa
518,682773,2005-01-30,Luisa
519,279342,2005-01-24,María
520,740355,2004-12-08,Luisa
521,1293400,2005-03-03,Carmen
522,1429380,2005-03-25,Carmen
523,1536576,2005-06-24,Pedro
524,1249360,2005-01-09,Pedro
525,1594404,2005-03-07,María
526,935781,2004-11-13,Joaquín
527,2273040,2005-02-04,Joaquín
528,1414602,2005-06-14,Carmen
529,446856,2005-06-12,María
530,712768,2005-06-14,Carmen
531,999726,2005-02-20,Carmen
532,606024,2005-04-12,Carmen
533,410316,2004-12-27,Luisa
534,1730680,2005-05-07,Carmen
535,1292123,2005-06-30,Joaquín
536,1031121,2005-04-30,Luisa
537,2161134,2005-03-09,María
538,761793,2005-07-11,María
539,565587,2005-01-25,Joaquín
540,251596,2005-06-20,Jesús
541,1514968,2004-10-24,María
542,564186,2005-01-21,Pedro
543,694331,2005-03-10,Carmen
544,419348,2005-03-12,Jesús
545,628095,2005-03-08,María
546,1000000,2004-12-13,Jesús
547,2330042,2004-10-21,Carmen
548,1403988,2005-06-27,Carmen
549,1711325,2005-04-27,Luisa
550,2215002,2004-10-31,Pedro
551,804625,2005-06-26,Carmen
552,1568754,2004-12-15,Pedro
553,867009,2004-11-21,Joaquín
554,1289748,2004-12-25,Luisa
555,567492,2005-02-08,Carmen
556,1916442,2005-04-14,Joaquín
557,1875012,2005-03-08,Luisa
558,1590104,2004-10-26,Pedro
559,1412175,2004-12-01,Pedro
560,280741,2005-07-01,Jesús
561,960526,2005-06-21,Joaquín
562,1272216,2005-04-27,Jesús
563,513968,2005-04-30,Jesús
564,917868,2004-11-15,Joaquín
565,1881950,2005-01-15,María
566,469910,2005-01-08,Joaquín
567,639999,2005-05-11,Luisa
568,700398,2005-03-07,Luisa
569,659808,2005-01-23,Pedro
570,322036,2004-12-20,Jesús
571,1897155,2005-07-01,Carmen
572,1038825,2004-12-14,Jesús
573,251430,2005-05-30,Carmen
574,1877400,2005-04-21,Joaquín
575,435348,2005-02-20,Pedro
576,889658,2005-06-22,Joaquín
577,1571973,2004-12-25,Joaquín
578,811780,2005-04-17,Luisa
579,1634884,2005-07-20,María
580,1742020,2004-11-16,Jesús
581,2584480,2004-11-22,Jesús
582,1767744,2005-03-23,Pedro
583,1077601,2005-02-07,Luisa
584,1050203,2005-02-04,Joaquín
585,613921,2005-03-23,María
586,1286344,2005-07-02,Joaquín
587,469168,2005-03-08,Pedro
588,1372686,2005-06-17,Carmen
589,627570,2005-03-16,Carmen
590,435712,2005-03-31,Luisa
591,999630,2005-05-01,Pedro
592,1234974,2005-06-23,Carmen
593,1148436,2005-06-29,Pedro
594,1343798,2005-04-15,Jesús
595,358360,2005-07-23,Luisa
596,323760,2005-03-15,María
597,735456,2005-05-02,María
598,738568,2005-03-22,Joaquín
599,1275646,2005-01-29,Pedro
600,919632,2005-06-23,Luisa
601,1218763,2005-07-27,Joaquín
602,1408182,2005-05-23,Jesús
603,704323,2005-08-03,Luisa
604,1817264,2005-06-25,María
605,360765,2005-03-05,María
606,418019,2005-02-22,Pedro
607,1117620,2005-05-12,Carmen
608,1790880,2004-11-18,Pedro
609,1058545,2005-01-23,Joaquín
610,2658936,2005-06-21,Luisa
611,879244,2005-05-06,Joaquín
612,1879200,2004-11-19,Pedro
613,1085705,2005-01-28,Pedro
614,1992320,2005-04-07,María
615,1237929,2005-04-13,Luisa
616,1283980,2005-01-27,Carmen
617,391560,2005-01-20,Pedro
618,705963,2005-03-30,Pedro
619,406290,2005-07-04,Carmen
620,2171128,2005-03-23,Carmen
621,1116348,2005-06-29,Luisa
622,577656,2005-07-30,María
623,1122352,2005-05-11,Jesús
624,2171826,2005-01-12,Carmen
625,2061131,2005-07-28,Joaquín
626,494758,2005-03-04,María
627,1360828,2005-04-24,Jesús
628,1427019,2004-12-04,Jesús
629,1567060,2005-02-19,María
630,1972816,2005-08-14,Carmen
631,1816437,2005-05-10,Pedro
632,1191044,2005-01-11,Luisa
633,2576432,2005-05-13,María
634,981651,2005-01-17,Jesús
635,1161477,2005-05-07,María
636,938030,2005-06-03,María
637,915704,2005-01-27,María
638,2646181,2005-07-04,Carmen
639,1243060,2005-07-16,María
640,2306238,2005-03-02,María
641,711382,2005-08-01,Luisa
642,2338095,2005-08-10,Carmen
643,1162104,2005-05-10,Pedro
644,1917696,2005-02-22,Joaquín
645,1192800,2005-07-14,Joaquín
646,346256,2005-05-18,Luisa
647,1153173,2005-03-28,Pedro
648,386354,2005-05-04,Pedro
649,777360,2005-04-21,Carmen
650,1015956,2005-06-17,Jesús
651,1080548,2004-12-31,María
652,730149,2004-12-25,Carmen
653,1953873,2005-06-10,Luisa
654,2787016,2005-03-23,Luisa
655,1773072,2005-04-01,Luisa
656,1589832,2005-02-28,Luisa
657,1442870,2005-08-09,Pedro
658,500400,2005-01-22,María
659,1003552,2005-08-05,Carmen
660,1730550,2004-12-09,María
661,1963166,2005-07-27,Joaquín
662,463843,2005-02-19,Joaquín
663,2057832,2005-03-14,Luisa
664,1520627,2005-04-20,Pedro
665,1457980,2005-05-09,Luisa
666,651920,2005-05-09,María
667,1513005,2005-01-21,Pedro
668,1747830,2005-01-14,Luisa
669,2188597,2005-04-27,María
670,1277930,2005-04-07,Luisa
671,1225926,2005-05-16,Luisa
672,479318,2005-04-03,Luisa
673,1392168,2005-08-04,Pedro
674,329716,2005-05-10,Pedro
675,311563,2004-12-27,Carmen
676,227178,2005-01-24,Joaquín
677,1239300,2005-01-29,María
678,1074969,2005-04-16,Joaquín
679,1029864,2005-05-06,Carmen
680,1166104,2005-04-08,Jesús
681,1577692,2005-05-11,Joaquín
682,1049433,2005-06-07,Jesús
683,2285244,2005-03-07,María
684,662316,2005-04-27,Carmen
685,330771,2005-01-05,María
686,1214880,2005-04-09,Luisa
687,688838,2004-12-13,Luisa
688,622144,2005-07-05,María
689,723492,2005-07-10,Joaquín
690,827062,2005-03-22,Joaquín
691,1022883,2005-04-29,María
692,1722407,2004-12-21,Jesús
693,392832,2005-01-28,María
694,1524585,2005-05-02,Pedro
695,1379328,2005-03-27,Luisa
696,1570016,2005-08-04,Carmen
697,789140,2005-05-16,Carmen
698,542974,2005-06-14,Luisa
699,1251315,2005-01-20,Luisa
700,2023200,2004-12-27,Joaquín
701,2553225,2005-01-14,Carmen
702,1341120,2005-07-25,María
703,2540364,2005-04-12,Carmen
704,1165842,2005-02-10,Luisa
705,1501560,2005-01-05,Joaquín
706,1713120,2005-05-27,Carmen
707,1124012,2005-05-03,Pedro
708,1181670,2005-07-13,Jesús
709,1291636,2005-05-24,María
710,2114035,2004-12-14,Luisa
711,2280668,2005-07-16,María
712,688463,2005-08-08,Luisa
713,2135210,2005-05-14,Pedro
714,329681,2005-01-19,Jesús
715,1793848,2005-09-03,Luisa
716,457498,2005-02-23,Jesús
717,736092,2005-02-26,María
718,1565839,2005-06-15,Pedro
719,2216608,2005-07-09,Luisa
720,266596,2005-04-23,Luisa
721,611546,2005-02-10,Carmen
722,518508,2005-02-16,María
723,2085373,2005-07-07,Joaquín
724,901980,2005-02-07,Carmen
725,1081360,2005-05-03,María
726,1168440,2004-12-30,Luisa
727,585746,2005-05-03,Pedro
728,1905187,2005-09-15,Pedro
729,1830664,2005-01-02,Pedro
730,555246,2005-04-10,Joaquín
731,652743,2004-12-23,Pedro
732,1225244,2005-08-07,Jesús
733,644470,2005-06-22,María
734,588023,2005-06-26,Joaquín
735,840560,2005-06-29,Pedro
736,780980,2005-07-20,Joaquín
737,1201578,2005-01-31,Luisa
738,1527750,2005-02-10,Luisa
739,2328418,2005-01-06,Joaquín
740,1184274,2005-07-28,María
741,1330236,2004-12-27,Pedro
742,542864,2005-09-08,María
743,538065,2005-06-19,Jesús
744,445295,2005-01-30,Pedro
745,761056,2005-04-11,Jesús
746,1355470,2004-12-24,María
747,2145480,2005-06-21,María
748,679554,2005-09-16,Pedro
749,1335936,2005-07-14,Carmen
750,556116,2005-09-11,Luisa
751,1509872,2005-08-05,Luisa
752,399655,2005-08-13,Luisa
753,1206557,2005-05-20,María
754,2202655,2005-04-16,Pedro
755,308850,2005-08-10,Pedro
756,306726,2005-06-16,Jesús
757,1535168,2005-07-26,Luisa
758,823680,2005-01-19,María
759,1695330,2005-07-14,Joaquín
760,411700,2005-01-05,Carmen
761,371712,2005-08-14,María
762,2411808,2005-02-28,Joaquín
763,1122240,2005-08-27,Pedro
764,2354481,2005-01-26,Carmen
765,1044480,2005-04-17,Jesús
766,510150,2005-05-07,Jesús
767,1213212,2005-06-24,Carmen
768,1162131,2005-08-25,Pedro
769,1343840,2005-04-17,Carmen
770,223564,2005-09-26,Luisa
771,1363948,2005-01-02,Jesús
772,484744,2005-05-27,Joaquín
773,2332152,2005-06-05,Joaquín
774,1606500,2005-07-25,Carmen
775,411160,2005-02-15,Joaquín
776,611796,2005-06-18,Luisa
777,1554732,2005-08-17,Jesús
778,1877760,2005-04-14,María
779,1607280,2005-03-28,Carmen
780,1217390,2005-04-27,Luisa
781,299996,2005-09-02,María
782,1455693,2005-01-28,Joaquín
783,778706,2005-09-11,María
784,1685148,2005-10-05,Luisa
785,913248,2005-07-03,Jesús
786,2064879,2005-05-07,María
787,853852,2005-09-25,Carmen
788,1781849,2005-07-23,Luisa
789,647460,2005-03-10,Luisa
790,869196,2005-07-28,Jesús
791,1565120,2005-10-02,Joaquín
792,507320,2005-09-06,María
793,1522946,2005-03-09,Joaquín
794,338476,2005-05-19,Jesús
795,950290,2005-06-08,Carmen
796,1442280,2005-05-04,Jesús
797,1478742,2005-09-24,Jesús
798,2209822,2005-02-27,Jesús
799,653250,2005-02-19,María
800,1323198,2005-08-26,Jesús
801,1106028,2005-02-27,María
802,1115409,2005-03-14,María
803,580032,2005-03-28,Jesús
804,1469178,2005-02-18,Pedro
805,415552,2005-01-16,Luisa
806,1891736,2005-07-18,María
807,630224,2005-04-09,Joaquín
808,1292484,2005-10-01,Pedro
