,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
61,62,2004-01-24,Industrial,Venta,Tarragona,178,1142938,2005-01-23,Joaquín
62,63,2004-01-25,Piso,Venta,Barcelona,144,738144,2004-09-06,Luisa
63,64,2004-01-26,Industrial,Venta,Lleida,57,509010,2004-10-13,María
64,65,2004-01-26,Oficina,Venta,Tarragona,144,1436832,2004-05-26,Luisa
65,66,2004-01-27,Suelo,Venta,Lleida,272,2119424,2004-12-24,Pedro
68,69,2004-01-27,Local,Venta,Girona,248,2212408,2004-10-09,María
70,71,2004-01-28,Casa,Venta,Girona,235,1939925,2004-11-01,Carmen
71,72,2004-01-28,Suelo,Venta,Tarragona,216,1478952,2004-10-15,Carmen
73,74,2004-01-29,Industrial,Venta,Girona,229,1098055,2004-10-22,Joaquín
74,75,2004-01-29,Suelo,Venta,Tarragona,41,187862,2004-08-14,Jesús
77,78,2004-01-31,Piso,Venta,Lleida,87,448485,2004-10-04,María
78,79,2004-01-31,Parking,Venta,Barcelona,298,2520484,2004-11-27,Carmen
81,82,2004-02-02,Parking,Venta,Girona,117,1069731,2004-09-14,Pedro
82,83,2004-02-02,Suelo,Venta,Lleida,56,471072,2004-05-29,María
83,84,2004-02-02,Piso,Venta,Barcelona,94,470940,2004-07-28,Carmen
85,86,2004-02-03,Piso,Venta,Girona,275,2141700,2005-01-08,Jesús
89,90,2004-02-04,Suelo,Venta,Girona,292,2685816,2004-07-24,Pedro
94,95,2004-02-06,Local,Venta,Barcelona,68,663816,2004-05-23,Joaquín
96,97,2004-02-07,Suelo,Venta,Tarragona,96,625536,2004-11-07,Jesús
97,98,2004-02-07,Casa,Venta,Lleida,227,1467782,2005-02-01,Carmen
98,99,2004-02-07,Industrial,Alquiler,Girona,251,2067236,2004-12-22,María
101,102,2004-02-08,Local,Venta,Barcelona,45,438435,2004-05-23,Luisa
102,103,2004-02-08,Casa,Alquiler,Girona,258,1188090,2004-07-19,María
103,104,2004-02-09,Oficina,Venta,Tarragona,104,699400,2004-07-14,Luisa
105,106,2004-02-10,Piso,Alquiler,Lleida,300,2105700,2005-01-26,Pedro
108,109,2004-02-12,Suelo,Alquiler,Barcelona,300,1528200,2004-08-09,Pedro
109,110,2004-02-12,Parking,Venta,Barcelona,206,1587642,2004-12-20,Luisa
113,114,2004-02-14,Suelo,Venta,Girona,103,806799,2005-01-11,Joaquín
114,115,2004-02-14,Industrial,Venta,Tarragona,54,438750,2004-08-15,Carmen
115,116,2004-02-15,Parking,Venta,Girona,103,973659,2005-01-04,Jesús
116,117,2004-02-15,Oficina,Venta,Girona,274,1724008,2004-09-26,Joaquín
117,118,2004-02-15,Oficina,Venta,Girona,253,2047276,2004-09-10,Luisa
118,119,2004-02-16,Parking,Venta,Lleida,51,307989,2004-07-06,Pedro
119,120,2004-02-16,Piso,Venta,Tarragona,174,973878,2004-12-13,Jesús
120,121,2004-02-17,Parking,Venta,Barcelona,152,688864,2004-12-06,Jesús
121,122,2004-02-17,Casa,Alquiler,Barcelona,270,1385910,2005-02-05,Pedro
124,125,2004-02-19,Industrial,Venta,Girona,118,1067192,2004-08-25,Carmen
125,126,2004-02-19,Industrial,Venta,Tarragona,194,1373132,2004-08-31,María
126,127,2004-02-20,Industrial,Venta,Barcelona,139,1087119,2004-05-29,Jesús
127,128,2004-02-20,Casa,Venta,Tarragona,130,1230190,2005-01-04,Luisa
129,130,2004-02-21,Oficina,Venta,Tarragona,216,1389096,2004-11-23,Luisa
130,131,2004-02-21,Local,Venta,Lleida,55,477345,2004-09-04,Carmen
131,132,2004-02-21,Oficina,Venta,Tarragona,190,1268630,2004-12-04,Jesús
133,134,2004-02-22,Oficina,Alquiler,Tarragona,275,1765225,2005-02-20,Joaquín
134,135,2004-02-22,Local,Venta,Lleida,45,229455,2004-10-05,Jesús
136,137,2004-02-23,Casa,Venta,Barcelona,119,686154,2005-01-19,Pedro
137,138,2004-02-24,Industrial,Venta,Girona,88,678480,2004-12-28,Luisa
139,140,2004-02-26,Piso,Venta,Barcelona,222,1076034,2004-06-02,María
140,141,2004-02-27,Suelo,Venta,Barcelona,47,455477,2004-12-31,Joaquín
141,142,2004-02-27,Oficina,Venta,Tarragona,123,1128156,2004-09-23,Pedro
144,145,2004-02-28,Piso,Venta,Girona,50,315550,2004-10-14,Pedro
145,146,2004-02-28,Parking,Venta,Girona,274,2028970,2004-08-20,Luisa
147,148,2004-02-28,Local,Venta,Barcelona,109,779241,2004-05-30,María
148,149,2004-02-29,Piso,Venta,Lleida,249,1492506,2005-02-12,Luisa
151,152,2004-03-02,Oficina,Venta,Tarragona,172,1063648,2005-02-13,María
152,153,2004-03-02,Piso,Venta,Lleida,68,434656,2004-07-13,María
155,156,2004-03-03,Casa,Venta,Girona,284,1561432,2004-07-01,Pedro
156,157,2004-03-03,Oficina,Venta,Tarragona,202,1891932,2004-10-02,María
158,159,2004-03-04,Local,Venta,Lleida,106,563178,2004-08-01,Pedro
159,160,2004-03-04,Casa,Venta,Tarragona,211,875228,2004-07-23,María
160,161,2004-03-04,Suelo,Venta,Tarragona,165,1305480,2004-07-29,Jesús
161,162,2004-03-05,Piso,Alquiler,Lleida,251,1361675,2004-08-16,Jesús
162,163,2004-03-05,Local,Venta,Tarragona,266,1161090,2004-11-23,Carmen
163,164,2004-03-05,Oficina,Alquiler,Girona,287,1395681,2004-09-13,Carmen
164,165,2004-03-05,Industrial,Venta,Tarragona,104,1001104,2004-10-11,Luisa
165,166,2004-03-06,Oficina,Venta,Tarragona,250,2275500,2004-07-29,Luisa
166,167,2004-03-06,Parking,Venta,Girona,169,1370759,2005-01-14,Luisa
167,168,2004-03-06,Suelo,Venta,Lleida,221,1842035,2004-10-15,Joaquín
168,169,2004-03-07,Industrial,Alquiler,Barcelona,286,2080078,2004-07-14,Jesús
170,171,2004-03-08,Suelo,Venta,Girona,144,1358640,2004-11-13,Joaquín
172,173,2004-03-09,Oficina,Venta,Girona,268,2400476,2005-03-08,Joaquín
174,175,2004-03-10,Local,Venta,Barcelona,52,416936,2004-08-25,Carmen
176,177,2004-03-11,Suelo,Venta,Tarragona,148,1431012,2004-09-01,Jesús
177,178,2004-03-11,Local,Venta,Tarragona,118,513300,2004-10-26,María
178,179,2004-03-12,Industrial,Venta,Barcelona,156,848328,2005-02-27,Jesús
180,181,2004-03-12,Oficina,Venta,Tarragona,42,367584,2004-08-11,Joaquín
183,184,2004-03-14,Suelo,Venta,Tarragona,273,1447992,2004-10-24,Pedro
184,185,2004-03-15,Industrial,Venta,Barcelona,265,2109930,2004-08-27,María
187,188,2004-03-16,Casa,Venta,Lleida,63,537264,2005-02-08,Carmen
188,189,2004-03-17,Parking,Venta,Girona,160,1261600,2004-10-25,Jesús
191,192,2004-03-18,Local,Venta,Girona,56,553616,2005-03-09,Pedro
192,193,2004-03-18,Suelo,Venta,Tarragona,59,453651,2004-10-07,María
194,195,2004-03-19,Piso,Venta,Girona,62,250852,2004-07-21,Carmen
195,196,2004-03-20,Piso,Alquiler,Barcelona,281,1336717,2004-11-10,Carmen
196,197,2004-03-20,Piso,Venta,Tarragona,87,519738,2005-01-13,Carmen
198,199,2004-03-21,Oficina,Venta,Lleida,177,842343,2005-03-10,María
199,200,2004-03-22,Parking,Venta,Tarragona,281,2108343,2004-09-26,Pedro
200,201,2004-03-22,Parking,Venta,Girona,247,1050985,2004-11-09,Pedro
204,205,2004-03-23,Local,Venta,Girona,274,2002392,2004-12-04,Luisa
207,208,2004-03-23,Casa,Venta,Lleida,156,1369680,2004-09-27,Pedro
208,209,2004-03-24,Parking,Venta,Lleida,167,1643948,2004-09-21,María
210,211,2004-03-25,Parking,Alquiler,Barcelona,269,2134246,2004-08-11,Carmen
213,214,2004-03-26,Industrial,Venta,Girona,163,1385011,2004-08-26,Carmen
215,216,2004-03-27,Industrial,Venta,Tarragona,263,1494892,2005-02-02,María
223,224,2004-03-31,Oficina,Venta,Tarragona,192,1032000,2004-08-21,Luisa
226,227,2004-04-01,Casa,Venta,Lleida,179,1670965,2004-09-09,Luisa
227,228,2004-04-01,Local,Venta,Girona,211,2010619,2004-11-12,Jesús
228,229,2004-04-01,Oficina,Venta,Tarragona,117,739206,2005-01-25,Carmen
231,232,2004-04-03,Oficina,Venta,Tarragona,212,1479548,2004-11-03,María
233,234,2004-04-03,Suelo,Venta,Girona,230,1722700,2005-03-26,Carmen
234,235,2004-04-03,Suelo,Venta,Lleida,126,848358,2004-11-02,Pedro
235,236,2004-04-03,Industrial,Venta,Girona,226,2104286,2004-08-26,Carmen
236,237,2004-04-05,Piso,Venta,Tarragona,262,1748850,2004-10-07,Pedro
238,239,2004-04-05,Piso,Alquiler,Lleida,268,2338032,2005-01-02,Pedro
239,240,2004-04-06,Parking,Venta,Barcelona,164,1298716,2004-12-03,Luisa
240,241,2004-04-06,Local,Venta,Lleida,260,2038660,2004-07-26,Carmen
241,242,2004-04-07,Suelo,Venta,Barcelona,69,656535,2004-08-16,Jesús
242,243,2004-04-07,Local,Venta,Lleida,298,1870546,2005-03-31,Luisa
243,244,2004-04-07,Local,Alquiler,Tarragona,284,1431076,2004-12-22,María
244,245,2004-04-08,Casa,Venta,Barcelona,239,1176597,2004-07-07,Joaquín
245,246,2004-04-09,Local,Venta,Girona,287,1936102,2005-04-08,Jesús
248,249,2004-04-09,Industrial,Venta,Tarragona,223,2026401,2004-12-13,Joaquín
250,251,2004-04-09,Suelo,Venta,Lleida,124,1130632,2005-01-22,Pedro
252,253,2004-04-10,Parking,Venta,Tarragona,106,567206,2004-08-08,María
253,254,2004-04-10,Piso,Venta,Girona,67,379689,2004-10-29,Pedro
255,256,2004-04-10,Industrial,Venta,Girona,238,1620304,2004-10-05,Carmen
256,257,2004-04-11,Suelo,Alquiler,Lleida,261,1220697,2005-02-09,Carmen
258,259,2004-04-11,Parking,Venta,Tarragona,138,1183212,2005-02-26,Luisa
259,260,2004-04-12,Piso,Alquiler,Tarragona,258,1750014,2004-12-09,Luisa
263,264,2004-04-14,Parking,Alquiler,Tarragona,258,1770912,2005-03-02,Jesús
264,265,2004-04-14,Parking,Venta,Barcelona,105,927255,2004-11-21,Luisa
266,267,2004-04-14,Casa,Venta,Girona,204,1291116,2004-09-27,Carmen
268,269,2004-04-15,Parking,Venta,Lleida,52,446888,2004-09-01,María
271,272,2004-04-15,Suelo,Venta,Lleida,270,2409210,2004-09-03,Carmen
276,277,2004-04-17,Parking,Venta,Barcelona,209,2038586,2005-01-06,Jesús
278,279,2004-04-18,Suelo,Venta,Girona,244,1414956,2005-02-26,María
279,280,2004-04-18,Oficina,Venta,Barcelona,154,881804,2004-08-25,Pedro
280,281,2004-04-18,Oficina,Venta,Girona,258,1081278,2005-04-13,Carmen
281,282,2004-04-18,Casa,Venta,Girona,285,2534505,2004-12-28,Jesús
283,284,2004-04-19,Suelo,Alquiler,Girona,262,2404898,2004-10-20,Luisa
285,286,2004-04-19,Industrial,Venta,Barcelona,65,523770,2005-01-24,Jesús
288,289,2004-04-20,Suelo,Venta,Lleida,163,895359,2005-02-17,Pedro
290,291,2004-04-21,Casa,Alquiler,Tarragona,295,1877675,2004-09-11,Pedro
291,292,2004-04-21,Parking,Venta,Barcelona,54,258444,2005-03-08,Pedro
292,293,2004-04-22,Parking,Venta,Girona,82,430418,2005-02-09,Luisa
293,294,2004-04-22,Oficina,Venta,Girona,86,589960,2005-03-18,Carmen
294,295,2004-04-22,Oficina,Venta,Girona,133,786695,2004-11-21,Luisa
296,297,2004-04-23,Suelo,Alquiler,Girona,288,2699136,2004-07-28,Pedro
297,298,2004-04-23,Industrial,Venta,Barcelona,106,600596,2004-11-23,Luisa
298,299,2004-04-23,Industrial,Venta,Girona,45,307170,2005-04-16,Joaquín
302,303,2004-04-25,Oficina,Venta,Girona,209,1728221,2004-08-30,Carmen
303,304,2004-04-26,Casa,Alquiler,Barcelona,298,2612566,2005-02-16,Pedro
304,305,2004-04-27,Oficina,Venta,Girona,249,1150380,2004-11-18,Joaquín
305,306,2004-04-27,Piso,Venta,Lleida,142,1055912,2004-09-28,Jesús
306,307,2004-04-27,Industrial,Venta,Lleida,196,1645616,2005-04-14,Carmen
309,310,2004-04-28,Industrial,Venta,Lleida,121,792792,2004-09-23,Pedro
310,311,2004-04-28,Suelo,Venta,Lleida,61,605425,2004-12-29,Carmen
311,312,2004-04-29,Industrial,Venta,Girona,189,1579284,2005-01-07,Luisa
314,315,2004-05-01,Casa,Alquiler,Barcelona,251,2439971,2005-02-14,Joaquín
315,316,2004-05-02,Industrial,Alquiler,Barcelona,261,2571111,2005-02-07,Carmen
316,317,2004-05-02,Parking,Alquiler,Barcelona,251,1754992,2004-08-26,Jesús
318,319,2004-05-02,Piso,Venta,Tarragona,123,961368,2004-09-04,Luisa
319,320,2004-05-02,Industrial,Alquiler,Girona,277,2456159,2004-08-04,María
321,322,2004-05-03,Suelo,Venta,Barcelona,42,255906,2004-11-09,María
322,323,2004-05-03,Parking,Venta,Barcelona,237,1592166,2004-10-15,María
324,325,2004-05-04,Piso,Venta,Girona,60,332400,2004-08-30,Joaquín
326,327,2004-05-04,Suelo,Venta,Tarragona,180,1022040,2005-03-28,Jesús
327,328,2004-05-04,Suelo,Venta,Barcelona,273,1369368,2005-04-17,Jesús
328,329,2004-05-04,Industrial,Venta,Lleida,285,1922325,2004-11-11,María
332,333,2004-05-06,Piso,Venta,Barcelona,110,803000,2004-08-25,Jesús
334,335,2004-05-07,Piso,Venta,Lleida,148,634920,2005-04-27,Joaquín
336,337,2004-05-08,Oficina,Venta,Girona,102,413610,2004-09-15,Pedro
339,340,2004-05-10,Suelo,Venta,Lleida,99,783783,2004-12-01,Jesús
340,341,2004-05-10,Casa,Venta,Tarragona,229,1990697,2004-11-02,Pedro
341,342,2004-05-10,Local,Alquiler,Lleida,259,1992228,2004-12-21,Pedro
342,343,2004-05-10,Parking,Venta,Barcelona,175,1178100,2004-11-12,Luisa
343,344,2004-05-10,Casa,Venta,Barcelona,146,1083466,2004-09-19,Jesús
345,346,2004-05-11,Local,Venta,Tarragona,202,1320676,2004-12-23,Pedro
346,347,2004-05-11,Industrial,Venta,Barcelona,173,851852,2004-09-18,Carmen
348,349,2004-05-12,Parking,Venta,Tarragona,234,1398852,2004-11-01,María
349,350,2004-05-13,Oficina,Venta,Girona,103,680830,2004-09-21,María
351,352,2004-05-14,Casa,Venta,Tarragona,241,2060550,2004-10-10,Luisa
352,353,2004-05-14,Piso,Alquiler,Tarragona,257,1980185,2004-08-14,Carmen
353,354,2004-05-14,Piso,Venta,Girona,122,885476,2005-03-30,Carmen
356,357,2004-05-15,Suelo,Venta,Girona,196,1707944,2004-08-19,Pedro
357,358,2004-05-15,Piso,Venta,Barcelona,131,1180048,2004-11-04,Joaquín
358,359,2004-05-15,Parking,Venta,Lleida,130,1176630,2005-03-18,Jesús
359,360,2004-05-16,Local,Venta,Barcelona,156,896220,2005-03-19,Luisa
360,361,2004-05-17,Local,Venta,Lleida,291,1505925,2005-03-10,Luisa
361,362,2004-05-18,Casa,Venta,Lleida,141,732495,2004-12-02,Luisa
363,364,2004-05-18,Local,Venta,Lleida,267,1257036,2004-12-26,Luisa
365,366,2004-05-18,Oficina,Venta,Lleida,137,961192,2005-05-10,Jesús
367,368,2004-05-18,Casa,Venta,Girona,80,354320,2004-10-18,Carmen
369,370,2004-05-19,Suelo,Alquiler,Tarragona,285,1377975,2004-09-14,Jesús
370,371,2004-05-20,Oficina,Venta,Barcelona,230,1109980,2004-12-08,Luisa
374,375,2004-05-22,Local,Venta,Tarragona,230,1398630,2005-04-10,María
377,378,2004-05-24,Suelo,Alquiler,Girona,280,1680000,2004-09-17,María
378,379,2004-05-24,Piso,Venta,Girona,108,812808,2004-10-13,Jesús
379,380,2004-05-25,Local,Venta,Lleida,269,2586704,2005-03-27,Carmen
380,381,2004-05-25,Casa,Venta,Girona,123,775884,2004-10-21,Joaquín
381,382,2004-05-26,Suelo,Alquiler,Lleida,264,2582184,2005-04-24,Luisa
382,383,2004-05-26,Industrial,Alquiler,Lleida,298,1331166,2004-12-28,Joaquín
383,384,2004-05-26,Parking,Venta,Barcelona,200,1823400,2004-10-20,Joaquín
384,385,2004-05-26,Parking,Venta,Barcelona,197,1746405,2005-03-20,Luisa
386,387,2004-05-27,Oficina,Venta,Barcelona,119,486472,2004-09-04,Joaquín
390,391,2004-05-30,Suelo,Venta,Girona,300,1483500,2005-03-29,Carmen
392,393,2004-05-31,Piso,Venta,Girona,225,1164375,2005-03-04,Pedro
395,396,2004-05-31,Parking,Alquiler,Lleida,296,1602544,2004-09-07,Jesús
396,397,2004-06-01,Parking,Venta,Barcelona,177,933321,2005-05-10,Joaquín
397,398,2004-06-01,Industrial,Venta,Girona,72,427824,2004-11-08,Luisa
398,399,2004-06-01,Industrial,Venta,Tarragona,65,483860,2005-01-24,Pedro
399,400,2004-06-01,Parking,Venta,Tarragona,208,1225120,2005-01-22,Carmen
400,401,2004-06-02,Piso,Alquiler,Barcelona,271,2682900,2005-06-02,Pedro
401,402,2004-06-02,Industrial,Alquiler,Lleida,278,2188138,2005-01-21,María
402,403,2004-06-02,Piso,Venta,Girona,90,770040,2005-04-26,Jesús
404,405,2004-06-03,Local,Venta,Tarragona,224,1804992,2005-01-20,Jesús
405,406,2004-06-03,Oficina,Venta,Barcelona,207,1883700,2005-02-23,Carmen
406,407,2004-06-03,Industrial,Venta,Barcelona,162,1383480,2004-12-16,María
408,409,2004-06-04,Parking,Venta,Girona,293,1750089,2005-04-05,Luisa
410,411,2004-06-05,Local,Venta,Girona,90,742770,2004-11-27,Luisa
411,412,2004-06-05,Local,Venta,Girona,148,1268952,2004-10-14,María
413,414,2004-06-06,Suelo,Venta,Lleida,56,425432,2004-09-23,Luisa
414,415,2004-06-06,Parking,Venta,Barcelona,46,386584,2004-12-17,Carmen
416,417,2004-06-07,Suelo,Venta,Barcelona,254,1381506,2005-04-14,Luisa
417,418,2004-06-07,Industrial,Alquiler,Girona,287,2452989,2005-01-26,Joaquín
418,419,2004-06-07,Parking,Venta,Girona,174,952302,2004-12-06,Luisa
420,421,2004-06-09,Suelo,Venta,Barcelona,135,1209735,2005-05-05,Pedro
422,423,2004-06-09,Local,Alquiler,Barcelona,260,1090180,2004-12-16,Luisa
423,424,2004-06-09,Parking,Venta,Barcelona,261,1945755,2004-11-06,Jesús
424,425,2004-06-09,Casa,Venta,Girona,173,1117753,2004-12-11,María
426,427,2004-06-10,Piso,Venta,Barcelona,81,583362,2005-05-04,Carmen
428,429,2004-06-11,Parking,Alquiler,Tarragona,271,2190493,2004-11-02,Jesús
429,430,2004-06-11,Oficina,Venta,Tarragona,249,1388175,2004-10-29,Luisa
432,433,2004-06-13,Suelo,Venta,Tarragona,144,852480,2005-06-04,Carmen
435,436,2004-06-13,Suelo,Venta,Tarragona,105,783195,2004-11-20,Carmen
436,437,2004-06-14,Parking,Venta,Girona,107,909821,2005-05-03,Luisa
437,438,2004-06-14,Oficina,Venta,Barcelona,158,1543344,2004-12-26,Luisa
438,439,2004-06-15,Oficina,Alquiler,Girona,298,2524358,2004-10-23,Luisa
439,440,2004-06-15,Parking,Venta,Barcelona,115,1077665,2004-09-19,Jesús
440,441,2004-06-16,Parking,Venta,Barcelona,102,790602,2004-11-09,Carmen
441,442,2004-06-16,Parking,Venta,Tarragona,211,872063,2005-02-26,Pedro
443,444,2004-06-17,Parking,Venta,Barcelona,102,1005312,2005-06-09,Luisa
446,447,2004-06-17,Parking,Alquiler,Lleida,263,1779458,2005-01-24,Pedro
448,449,2004-06-17,Local,Venta,Girona,118,788948,2005-04-08,Pedro
450,451,2004-06-18,Oficina,Venta,Barcelona,54,406998,2005-04-25,Joaquín
451,452,2004-06-19,Suelo,Venta,Lleida,215,2097970,2004-11-13,Pedro
452,453,2004-06-19,Suelo,Venta,Girona,185,1616900,2005-04-08,Jesús
455,456,2004-06-20,Piso,Venta,Lleida,195,1797120,2004-12-31,María
458,459,2004-06-21,Oficina,Venta,Girona,107,590426,2004-11-03,María
460,461,2004-06-22,Casa,Venta,Girona,90,412740,2004-09-26,María
462,463,2004-06-23,Casa,Venta,Girona,214,1962380,2005-06-01,Pedro
464,465,2004-06-24,Industrial,Alquiler,Lleida,268,2628812,2005-03-15,Pedro
466,467,2004-06-24,Local,Venta,Girona,126,520758,2005-06-16,Pedro
467,468,2004-06-24,Local,Venta,Tarragona,215,870105,2005-04-02,Jesús
469,470,2004-06-25,Parking,Venta,Tarragona,191,875544,2004-11-01,Jesús
470,471,2004-06-25,Casa,Venta,Lleida,155,801350,2005-01-14,Pedro
471,472,2004-06-25,Suelo,Venta,Tarragona,297,1820016,2005-01-08,María
473,474,2004-06-25,Suelo,Venta,Girona,199,1622646,2005-06-23,Jesús
478,479,2004-06-28,Oficina,Venta,Girona,232,1028224,2005-05-26,Luisa
479,480,2004-06-28,Suelo,Venta,Lleida,58,530816,2004-10-07,Luisa
480,481,2004-06-29,Oficina,Alquiler,Barcelona,257,1166780,2005-01-10,Jesús
481,482,2004-06-29,Industrial,Venta,Tarragona,243,1983123,2005-06-16,María
482,483,2004-06-29,Oficina,Venta,Lleida,134,946710,2005-01-04,Carmen
483,484,2004-06-30,Casa,Venta,Girona,153,1506438,2004-12-03,Luisa
485,486,2004-06-30,Piso,Venta,Girona,283,2199476,2005-06-04,Luisa
486,487,2004-06-30,Casa,Venta,Lleida,261,2475063,2005-01-21,Carmen
488,489,2004-07-01,Casa,Venta,Tarragona,60,253920,2005-01-30,Luisa
491,492,2004-07-03,Local,Venta,Lleida,282,1298328,2005-03-10,Jesús
492,493,2004-07-03,Parking,Alquiler,Lleida,299,1948583,2004-12-21,María
493,494,2004-07-03,Piso,Venta,Barcelona,274,1729762,2005-07-03,Luisa
494,495,2004-07-03,Oficina,Venta,Barcelona,268,2578696,2005-06-28,Luisa
496,497,2004-07-03,Oficina,Venta,Girona,209,1316073,2005-04-02,Pedro
498,499,2004-07-04,Casa,Venta,Barcelona,61,531432,2005-05-22,Joaquín
500,501,2004-07-05,Casa,Venta,Lleida,229,965006,2005-02-02,Pedro
502,503,2004-07-05,Piso,Venta,Barcelona,72,647352,2005-06-07,María
503,504,2004-07-05,Oficina,Venta,Lleida,186,1216254,2005-04-09,María
504,505,2004-07-05,Industrial,Venta,Tarragona,172,860172,2005-05-16,Luisa
507,508,2004-07-05,Local,Venta,Barcelona,271,2297538,2004-11-22,Jesús
508,509,2004-07-06,Parking,Venta,Tarragona,80,428240,2005-02-01,Pedro
510,511,2004-07-06,Industrial,Venta,Lleida,40,258560,2005-03-22,Jesús
513,514,2004-07-07,Casa,Venta,Tarragona,76,741228,2004-12-28,Luisa
516,517,2004-07-08,Industrial,Venta,Girona,174,1313526,2005-01-16,Pedro
517,518,2004-07-08,Casa,Venta,Girona,108,638064,2004-10-24,Luisa
520,521,2004-07-09,Parking,Venta,Barcelona,105,740355,2004-12-08,Luisa
521,522,2004-07-09,Casa,Venta,Lleida,223,1293400,2005-03-03,Carmen
522,523,2004-07-09,Suelo,Alquiler,Girona,270,1429380,2005-03-25,Carmen
524,525,2004-07-10,Parking,Venta,Lleida,280,1249360,2005-01-09,Pedro
525,526,2004-07-11,Parking,Venta,Girona,162,1594404,2005-03-07,María
529,530,2004-07-12,Local,Venta,Lleida,86,446856,2005-06-12,María
532,533,2004-07-13,Parking,Venta,Tarragona,72,606024,2005-04-12,Carmen
533,534,2004-07-14,Oficina,Venta,Girona,62,410316,2004-12-27,Luisa
534,535,2004-07-14,Industrial,Alquiler,Lleida,280,1730680,2005-05-07,Carmen
535,536,2004-07-14,Casa,Venta,Girona,197,1292123,2005-06-30,Joaquín
537,538,2004-07-15,Industrial,Alquiler,Girona,279,2161134,2005-03-09,María
541,542,2004-07-16,Oficina,Venta,Barcelona,182,1514968,2004-10-24,María
542,543,2004-07-16,Industrial,Venta,Tarragona,101,564186,2005-01-21,Pedro
543,544,2004-07-17,Oficina,Venta,Tarragona,79,694331,2005-03-10,Carmen
544,545,2004-07-18,Local,Venta,Lleida,82,419348,2005-03-12,Jesús
545,546,2004-07-20,Industrial,Venta,Lleida,65,628095,2005-03-08,María
547,548,2004-07-20,Parking,Venta,Barcelona,286,2330042,2004-10-21,Carmen
548,549,2004-07-20,Local,Venta,Girona,237,1403988,2005-06-27,Carmen
549,550,2004-07-21,Casa,Alquiler,Lleida,275,1711325,2005-04-27,Luisa
551,552,2004-07-21,Local,Venta,Barcelona,125,804625,2005-06-26,Carmen
552,553,2004-07-21,Oficina,Venta,Barcelona,209,1568754,2004-12-15,Pedro
553,554,2004-07-21,Parking,Venta,Barcelona,141,867009,2004-11-21,Joaquín
554,555,2004-07-22,Piso,Venta,Girona,138,1289748,2004-12-25,Luisa
555,556,2004-07-22,Suelo,Venta,Lleida,57,567492,2005-02-08,Carmen
559,560,2004-07-25,Industrial,Alquiler,Tarragona,285,1412175,2004-12-01,Pedro
562,563,2004-07-25,Piso,Venta,Barcelona,237,1272216,2005-04-27,Jesús
564,565,2004-07-25,Suelo,Venta,Barcelona,147,917868,2004-11-15,Joaquín
565,566,2004-07-26,Local,Alquiler,Girona,266,1881950,2005-01-15,María
